id,name,department_id,type_id,image,active,expiration_date,praepostor_id
1, СДП-ИНФ-141,1,,,0,,
2, СДП-КБ-141,1,,,0,,
3, СДП-ПМ-141,1,,,0,,
4, СДП-ПОИТ-141,1,,,0,,
5, СДП-ПОИТ-142,1,,,0,,
6, СДП-УИР-141,1,,,0,,
7, СДП-УИР-142,1,,,0,,
8, СДП-ЭК-141,1,,,0,,
10,Тест-01,1,,,1,,161
11,Тест-02,1,,,1,,
12, СЗС-ПОИТ-141,1,,,0,,
14,СЗП-ППСИХ-136,3,,,1,,
15,СДП-ПГС-161,4,,,1,2018-01-31T00:00:00,244
16,СДП-ПГС-162,4,,,1,2018-01-31T00:00:00,279
17,СДС-ПГС-163,4,,,1,2018-01-31T00:00:00,303
18,СДП-МАТ(НПД)-151,1,,,1,2019-01-01T00:00:00,319
22,СДП-ФК-151+2,5,,,1,2018-01-31T00:00:00,
23,ОПК_НДП+ПОИТ1_17,1,,,1,2018-01-31T00:00:00,
24, СДП-МАТ(НПД)-141,1,,,0,,
25,ОПК_ФаМИ_НПД+ПОИТ1,1,,,1,2018-01-31T00:00:00,
26,ОПК_ФаМИ_ИНФ+ПМ,1,,,1,2018-01-31T00:00:00,
27,ОПК_МАТ_КБ+ПОИТ2,1,,,1,2018-01-31T00:00:00,
28,ОПК_ФаМИ_УИР1+2,1,,,1,2018-01-31T00:00:00,
29,СДП-КБ-151,1,,,1,,426
30,СДП-ПМ-151,1,,,1,,445
31,СДП-ПМ-152,1,,,1,,459
32,СДП-ПОИТ-151,1,,,1,,472
33,СДП-ПОИТ-152,1,,,1,,512
34,СДП-УИР-151,1,,,1,,545
35,СЗП-ППСИХ-155,3,,,1,,
36,СДП-МАТ(НПД)-161,1,,,1,,580
37,СДП-ПГС-171,4,,,1,,
38,СДП-ПГС-172,4,,,1,,
39,СДП-ТВОВБ-171,4,,,1,,
40,СДС-ПГС-173,4,,,1,,
42,ФаМИ-184.7.3 УИР-151,1,,,1,2018-12-31T00:00:00,545
43,ФаМИ-184.7.1 КБ1+ПОИТ2,1,,,1,2019-01-01T00:00:00,426
44,ФаМИ-184.7.2 ПМ2+ПОИТ1,1,,,1,2019-01-01T00:00:00,445
47,СДП-ФК-160,5,,,1,,
