id,name,image,description,create_date,lecturer_id,discipline_id,department_id,course,active,expiration_date,lecture_count,practical_count,lab_count
1,ОПП_ФаМИ,,,2017-02-08T00:13:31,,1,1,3,0,,,,
2,Тест,,,,,2,1,3,1,,,,
3,ОПП_ФаМИ_3_з,,,,,1,1,3,0,,,,
5,Педагогика_ФП_136,,,,,3,3,4,1,,,,
6,ОПП_ИСФ_д_17,,,,,1,4,2,1,2018-01-31T00:00:00,9,8,
7,Педагогика_ФаМИ_д_17,,,,,3,1,3,1,2018-01-31T00:00:00,18,16,
8,ОПК_ФФК_д_17,,,,,5,5,3,1,2018-01-31T00:00:00,11,6,
9,ОПК_ФаМИ_17,,,,,5,1,4,1,2018-01-31T00:00:00,11,6,
12,ОПП_ФаМИ_2018,,,2018-01-28T17:06:48,,1,1,3,1,2018-07-31T00:00:00,9,8,
13,Педагогика_ФП_155,,,2018-02-07T00:39:16,,3,3,3,1,,,,
14,Педагогика_ФаМИ_2018,,,2018-09-09T00:08:41,,3,1,3,1,2019-12-31T00:00:00,18,16,
15,ОПП_ИСФ_2018,,,2018-09-09T00:46:38,,1,4,2,1,2019-01-31T00:00:00,9,8,
17,ОПК_ФаМИ_2018,,,2018-09-14T00:13:35,,5,1,4,1,2019-01-01T00:00:00,11,6,
21,ОПК_ФФК_18,,,2018-09-18T03:10:26,,5,5,3,1,,,,
