id,student_id,active,create_date,description
2,323,1,2017-11-12T21:16:57.406,Аттестация
3,34,1,2017-12-06T21:41:56.832,Где живёт
6,479,1,2018-02-28T02:11:08.297,"Староста отметил как отсутствующего 26.02
"
8,478,1,2018-03-06T12:31:23.632,"Староста отметила как присутсвующего, а отметки нет"
9,530,1,2018-03-19T18:50:44.244,Отметилась и ушла
10,522,1,2018-03-19T18:51:47.893,Отметилась и ушла
11,533,1,2018-03-19T18:52:36.389,Отметилась и ушла
12,537,1,2018-03-19T18:55:10.594,Отметился и ушёл
13,526,1,2018-03-19T18:56:15.652,Отметился и ушёл
14,491,1,2018-03-19T19:00:14.491,Отметился и ушёл
15,475,1,2018-03-19T19:01:51.665,"Отметился и ушёл, староста отметил как отсутствующего"
16,488,1,2018-03-19T19:03:16.91,Отметилась и ушла
18,455,1,2018-03-19T19:13:38.353,Отметился и ушёл
19,456,1,2018-03-19T19:14:31.14,Отметился и ушёл
20,457,1,2018-03-19T19:17:04.838,Отметился и ушёл
21,463,1,2018-03-19T19:20:35.544,Отметился и ушёл
22,464,1,2018-03-19T19:21:47.533,Отметился и ушёл
23,466,1,2018-03-19T19:24:07.923,Отметился и ушёл
24,467,1,2018-03-19T19:25:40.707,Отметился и ушёл
25,469,1,2018-03-19T19:27:26.777,Отметился и ушёл
26,177,1,2018-09-18T10:08:35.306,Проверка
